Image,Object,Color,Caption
raw/Wealth/20210805090159__https____www.scotiawealthmanagement.com__ca__fr__accueil__linitiative-femmes-de-la-banque-scotia__centre-de-ressources/content__dam__SWM__Images__smiling-senior-businesswoman.jpg2000.2000.jpg,"person 94.4%
person 94.3%
potted plant 86.5%
chair 64.5%
bench 26.0%","darkslategray
gainsboro
gray
darkgray
cadetblue",two women sitting in front of a window talking
raw/Wealth/20210620224346__https____www.scotiawealthmanagement.com__intl__es__pagina-principal__nuestra-identidad/content__dam__scotiabank__swm__Businesswomen_using_laptop_in__meeting.jpg2000.2000.jpg,"person 94.8%
laptop 93.1%
chair 91.0%
person 90.9%
chair 84.9%
cell phone 73.7%
chair 60.0%
chair 32.0%
chair 28.0%","lightgray
darkslategray
dimgray
darkgray
lightslategray",two women sitting at a table looking at a laptop computer
raw/Wealth/20200815041628__https____www.scotiawealthmanagement.com__ca__fr__accueil__communiquez-avec-nous/content__dam__SWM__Images__service-banners-hero.jpg2000.2000.jpg,"laptop 93.1%
person 91.9%
person 88.8%
chair 55.4%
clock 34.6%","darkslategray
gainsboro
darkgray
sienna
lightslategray",a man and a boy looking at a laptop computer
raw/Wealth/20210420220835__https____www.scotiawealthmanagement.com__ca__en__home__investment-management__scotiamcleod/content__dam__scotiabank__swm__default.jpg2000.2000.jpg,"person 91.6%
person 91.2%
person 91.1%
person 90.3%","lightgray
darkslategray
gray
rosybrown",a family walking on the beach at sunset
raw/Wealth/20210518210423__https____www.scotiawealthmanagement.com__ca__fr__accueil__gestion-de-placements/content__dam__itrade__images__investment-management.jpg2000.2000.jpg,"person 85.2%
person 83.1%
laptop 74.9%
dining table 50.1%","darkslategray
gainsboro
darkgray
lightslategray
gray",two business people sitting at a desk looking at a laptop
raw/Wealth/20210225142720__https____www.scotiawealthmanagement.com__ca__en__home__about-us/content__dam__scotiabank__swm__Businesswomen_using_laptop_in__meeting.jpg2000.2000.jpg,"person 94.8%
laptop 93.1%
chair 91.0%
person 90.9%
chair 84.9%
cell phone 73.7%
chair 60.0%
chair 32.0%
chair 28.0%","lightgray
darkslategray
dimgray
darkgray
lightslategray",two women sitting at a table looking at a laptop computer
raw/Wealth/20210301071638__https____www.scotiawealthmanagement.com__ca__en__home__investment-management__scotiamcleod/content__dam__scotiabank__swm__default.jpg2000.2000.jpg,"person 91.6%
person 91.2%
person 91.1%
person 90.3%","lightgray
darkslategray
gray
rosybrown",a family walking on the beach at sunset
raw/Wealth/20210225131650__https____www.scotiawealthmanagement.com__ca__fr__accueil__linitiative-femmes-de-la-banque-scotia/content__dam__SWM__Images__smiling-businesswoman.jpg2000.2000.jpg,"person 94.1%
tv 89.8%
chair 88.5%
tv 76.0%
tv 26.5%","darkslategray
gainsboro
darkgray
gray
cadetblue",a woman sitting at a computer in an office
raw/Wealth/20200815053600__https____www.scotiawealthmanagement.com__ca__fr__accueil__gestion-de-placements__service-de-gestion-privee-de-portefeuilles/content__dam__scotiabank__swm__private-investment.jpg2000.2000.jpg,"person 90.9%
person 86.6%
chair 79.9%","darkslategray
gainsboro
indianred
lightslategray",a man and a child drawing with pencils on a table
raw/Wealth/20220119132041__https____www.scotiawealthmanagement.com__mx__es__pagina-principal/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg,"person 94.2%
tie 89.5%
person 88.3%
person 85.7%
person 79.3%
person 66.3%
bench 57.1%
person 55.0%
umbrella 51.2%","darkslategray
lightgray
dimgray
darkseagreen
lightslategray",a family sitting on a bench in a park
raw/Wealth/20210620213337__https____www.scotiawealthmanagement.com__ca__en__home__not-yet-a-client__contact-us/content__dam__scotiabank__swm__Mature_man_using_laptop_with_woman_looking_over__shoulder.jpg2000.2000.jpg,"laptop 93.3%
person 92.9%
chair 91.4%
chair 91.4%
person 90.8%
cup 88.2%
cup 86.3%
potted plant 81.6%
potted plant 73.8%
potted plant 70.4%
chair 68.4%
dining table 63.5%
potted plant 48.8%
book 47.3%","darkslategray
darkgray
dimgray
darkseagreen
lightslategray",two people looking at a laptop computer at a table
raw/Wealth/20210518193605__https____www.scotiawealthmanagement.com__ca__en__home__resource-centre/content__dam__scotiabank__swm__Couple_Using_a_Computer_at_their_Farm.jpg2000.2000.jpg,"person 93.2%
laptop 92.3%
person 91.7%
cup 90.6%
dining table 52.5%","silver
darkslategray
dimgray
gray
lightslategray",an older couple sitting at a table looking at a laptop computer
raw/Wealth/20210225125904__https____www.scotiawealthmanagement.com__ca__en__home__resource-centre/content__dam__scotiabank__swm__Couple_Using_a_Computer_at_their_Farm.jpg2000.2000.jpg,"person 93.2%
laptop 92.3%
person 91.7%
cup 90.6%
dining table 52.5%","silver
darkslategray
dimgray
gray
lightslategray",an older couple sitting at a table looking at a laptop computer
raw/Wealth/20210420224732__https____www.scotiawealthmanagement.com__ca__fr__accueil__planification-de-patrimoine-globale/content__dam__scotiabank__swm__financial-planning.jpg2000.2000.jpg,"person 94.3%
person 93.8%
refrigerator 89.5%
vase 74.0%
potted plant 50.6%
dining table 35.1%
chair 30.7%","darkslategray
lightgray
cadetblue
lightslategray
indianred",a mother sitting on the floor with her daughter and a kiss
raw/Wealth/20211202224449__https____www.scotiawealthmanagement.com__intl__en__home/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg,"person 94.2%
tie 89.5%
person 88.3%
person 85.7%
person 79.3%
person 66.3%
bench 57.1%
person 55.0%
umbrella 51.2%","darkslategray
lightgray
dimgray
darkseagreen
lightslategray",a family sitting on a bench in a park
raw/Wealth/20210518210755__https____www.scotiawealthmanagement.com__intl__es__pagina-principal__gestin-de-inversiones/content__dam__itrade__images__investment-management.jpg2000.2000.jpg,"person 85.2%
person 83.1%
laptop 74.9%
dining table 50.1%","darkslategray
gainsboro
darkgray
lightslategray
gray",two business people sitting at a desk looking at a laptop
raw/Wealth/20200815044306__https____www.scotiawealthmanagement.com__ca__fr__accueil__a-propos-de-nous/content__dam__scotiabank__swm__Businesswomen_using_laptop_in__meeting.jpg2000.2000.jpg,"person 94.8%
laptop 93.1%
chair 91.0%
person 90.9%
chair 84.9%
cell phone 73.7%
chair 60.0%
chair 32.0%
chair 28.0%","lightgray
darkslategray
dimgray
darkgray
lightslategray",two women sitting at a table looking at a laptop computer
raw/Wealth/20220116102736__https____www.scotiawealthmanagement.com__intl__en__home/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg,"person 94.2%
tie 89.5%
person 88.3%
person 85.7%
person 79.3%
person 66.3%
bench 57.1%
person 55.0%
umbrella 51.2%","darkslategray
lightgray
dimgray
darkseagreen
lightslategray",a family sitting on a bench in a park
raw/Wealth/20210225140302__https____www.scotiawealthmanagement.com__ca__fr__accueil__linitiative-femmes-de-la-banque-scotia__carriere-et-entreprise/content__dam__SWM__Images__smiling-woman.jpg2000.2000.png,"person 95.2%
potted plant 49.7%","gainsboro
darkslategray
darkseagreen
gray
lightslategray",a woman standing in a window with a laptop
raw/Wealth/20210917231146__https____www.scotiawealthmanagement.com__mx__es__pagina-principal__soluciones-financieras/content__dam__SWM__Images__private-banking.jpg2000.2000.jpg,"person 91.2%
book 87.6%
person 74.4%
person 32.6%","darkslategray
lightgray
gray
rosybrown
lightslategray",a bride and groom laughing while looking at each other
raw/Wealth/20200923164951__https____www.scotiawealthmanagement.com__ca__fr__accueil__communiquez-avec-nous/content__dam__SWM__Images__service-banners-hero.jpg2000.2000.jpg,"laptop 93.1%
person 91.9%
person 88.8%
chair 55.4%
clock 34.6%","darkslategray
gainsboro
darkgray
sienna
lightslategray",a man and a boy looking at a laptop computer
raw/Wealth/20210123085737__https____www.scotiawealthmanagement.com__mx__es__pagina-principal__contactanos/content__dam__scotiabank__swm__Mature_man_using_laptop_with_woman_looking_over__shoulder.jpg2000.2000.jpg,"laptop 93.3%
person 92.9%
chair 91.4%
chair 91.4%
person 90.8%
cup 88.2%
cup 86.3%
potted plant 81.6%
potted plant 73.8%
potted plant 70.4%
chair 68.4%
dining table 63.5%
potted plant 48.8%
book 47.3%","darkslategray
darkgray
dimgray
darkseagreen
lightslategray",two people looking at a laptop computer at a table
raw/Wealth/20210420221834__https____www.scotiawealthmanagement.com__ca__en__home__not-yet-a-client__contact-us/content__dam__scotiabank__swm__Mature_man_using_laptop_with_woman_looking_over__shoulder.jpg2000.2000.jpg,"laptop 93.3%
person 92.9%
chair 91.4%
chair 91.4%
person 90.8%
cup 88.2%
cup 86.3%
potted plant 81.6%
potted plant 73.8%
potted plant 70.4%
chair 68.4%
dining table 63.5%
potted plant 48.8%
book 47.3%","darkslategray
darkgray
dimgray
darkseagreen
lightslategray",two people looking at a laptop computer at a table
raw/Wealth/20210805082238__https____www.scotiawealthmanagement.com__ca__fr__accueil/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg,"person 94.2%
tie 89.5%
person 88.3%
person 85.7%
person 79.3%
person 66.3%
bench 57.1%
person 55.0%
umbrella 51.2%","darkslategray
lightgray
dimgray
darkseagreen
lightslategray",a family sitting on a bench in a park
raw/Wealth/20220116104538__https____www.scotiawealthmanagement.com__mx__es__pagina-principal__nuestra-identidad/content__dam__scotiabank__swm__Businesswomen_using_laptop_in__meeting.jpg2000.2000.jpg,"person 94.8%
laptop 93.1%
chair 91.0%
person 90.9%
chair 84.9%
cell phone 73.7%
chair 60.0%
chair 32.0%
chair 28.0%","lightgray
darkslategray
dimgray
darkgray
lightslategray",two women sitting at a table looking at a laptop computer
raw/Wealth/20210420222750__https____www.scotiawealthmanagement.com__ca__en__home__total-wealth-planning/content__dam__scotiabank__swm__financial-planning.jpg2000.2000.jpg,"person 94.3%
person 93.8%
refrigerator 89.5%
vase 74.0%
potted plant 50.6%
dining table 35.1%
chair 30.7%","darkslategray
lightgray
cadetblue
lightslategray
indianred",a mother sitting on the floor with her daughter and a kiss
raw/Wealth/20220301083812__https____www.scotiawealthmanagement.com__ca__en/content__dam__SWM__Images__swm-redesign-images__SWM-hero-heads-together.jpg2000.2000.jpg,bird 72.1%,"darkslategray
crimson
linen
lightsalmon
gray",an image of the statue of liberty in red and black
raw/Wealth/20210225124246__https____www.scotiawealthmanagement.com__mx__es__pagina-principal/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg,"person 94.2%
tie 89.5%
person 88.3%
person 85.7%
person 79.3%
person 66.3%
bench 57.1%
person 55.0%
umbrella 51.2%","darkslategray
lightgray
dimgray
darkseagreen
lightslategray",a family sitting on a bench in a park
raw/Wealth/20210917225428__https____www.scotiawealthmanagement.com__ca__fr__accueil/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg,"person 94.2%
tie 89.5%
person 88.3%
person 85.7%
person 79.3%
person 66.3%
bench 57.1%
person 55.0%
umbrella 51.2%","darkslategray
lightgray
dimgray
darkseagreen
lightslategray",a family sitting on a bench in a park
raw/Wealth/20211202215914__https____www.scotiawealthmanagement.com__intl__en__home__investment-management/content__dam__itrade__images__investment-management.jpg2000.2000.jpg,"person 85.2%
person 83.1%
laptop 74.9%
dining table 50.1%","darkslategray
gainsboro
darkgray
lightslategray
gray",two business people sitting at a desk looking at a laptop
raw/Wealth/20210805072337__https____www.scotiawealthmanagement.com__ca__en__home__not-yet-a-client__contact-us/content__dam__scotiabank__swm__Mature_man_using_laptop_with_woman_looking_over__shoulder.jpg2000.2000.jpg,"laptop 93.3%
person 92.9%
chair 91.4%
chair 91.4%
person 90.8%
cup 88.2%
cup 86.3%
potted plant 81.6%
potted plant 73.8%
potted plant 70.4%
chair 68.4%
dining table 63.5%
potted plant 48.8%
book 47.3%","darkslategray
darkgray
dimgray
darkseagreen
lightslategray",two people looking at a laptop computer at a table
raw/Wealth/20211019221015__https____www.scotiawealthmanagement.com__ca__en__home__private-banking/content__dam__scotiabank__swm__160992764_20_1.jpg2000.2000.jpg,"person 94.8%
person 93.4%
handbag 82.8%","darkslategray
lightgray
indianred
rosybrown
dimgray",a man and a woman walking down a city street
raw/Wealth/20210917215036__https____www.scotiawealthmanagement.com__ca__en__home__investment-management__scotiamcleod/content__dam__scotiabank__swm__default.jpg2000.2000.jpg,"person 91.6%
person 91.2%
person 91.1%
person 90.3%","lightgray
darkslategray
gray
rosybrown",a family walking on the beach at sunset
raw/Wealth/20210225142317__https____www.scotiawealthmanagement.com__ca__fr__accueil__linitiative-femmes-de-la-banque-scotia__centre-de-ressources/content__dam__SWM__Images__smiling-senior-businesswoman.jpg2000.2000.jpg,"person 94.4%
person 94.3%
potted plant 86.5%
chair 64.5%
bench 26.0%","darkslategray
gainsboro
gray
darkgray
cadetblue",two women sitting in front of a window talking
raw/Wealth/20200815035719__https____www.scotiawealthmanagement.com__mx__es__pagina-principal/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg,"person 94.2%
tie 89.5%
person 88.3%
person 85.7%
person 79.3%
person 66.3%
bench 57.1%
person 55.0%
umbrella 51.2%","darkslategray
lightgray
dimgray
darkseagreen
lightslategray",a family sitting on a bench in a park
raw/Wealth/20200320072748__http____www.scotiawealthmanagement.com__intl__es__pagina-principal/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg,"person 94.2%
tie 89.5%
person 88.3%
person 85.7%
person 79.3%
person 66.3%
bench 57.1%
person 55.0%
umbrella 51.2%","darkslategray
lightgray
dimgray
darkseagreen
lightslategray",a family sitting on a bench in a park
raw/Wealth/20201028091509__https____www.scotiawealthmanagement.com__ca__fr__accueil__gestion-de-placements__scotiamcleod/content__dam__scotiabank__swm__default.jpg2000.2000.jpg,"person 91.6%
person 91.2%
person 91.1%
person 90.3%","lightgray
darkslategray
gray
rosybrown",a family walking on the beach at sunset
raw/Wealth/20200725014427__https____www.scotiawealthmanagement.com__ca__fr__accueil/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg,"person 94.2%
tie 89.5%
person 88.3%
person 85.7%
person 79.3%
person 66.3%
bench 57.1%
person 55.0%
umbrella 51.2%","darkslategray
lightgray
dimgray
darkseagreen
lightslategray",a family sitting on a bench in a park
